Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	i++	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	i<x;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	int i = 0;	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L01-F	3416	201	100	383	17	398	100	2975	198	100	383	15	398	100	4141	4141	4141	4141	1	231467	4141	4200	4200	4200	4200	1	231409	4200	13	340	4540	268.96	395.9
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L02-F	2100	162	83	392	13	4590	108	1783	162	83	392	11	4590	108	2783	2783	2783	2783	1	235658	2783	2833	2833	2833	2833	1	235608	2833	8	4540	7373	395.9	386.66
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L03-F	958	192	83	242	5	7423	208	958	192	83	242	5	7423	208	1117	1117	1117	1117	1	238491	1117	1167	1167	1167	1167	1	238441	1167	4	7373		386.66	
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L04-F	1175	235	200	283	5	8714	200	1175	235	200	283	5	8714	200	1286	1286	1286	1286	1	239783	1286	1294	1294	1294	1294	1	239775	1294	4				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L05-F	108	108	108	108	1	232	108	108	108	108	108	1	232	108	108	108	108	108	1	231300	108	133	133	133	133	1	231275	133	0		340		268.96
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L06-F	40	40	40	40	1	0	40	0	0			0			40	40	40	40	1	231069	40	40	40	40	40	1	231069	40	0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L07-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L09-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L10-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L12-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	L13-F	0	0			0			0	0			0			0	0			0							0			0				
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	n-L02	275	137	125	150	2	6598	125	275	137	125	150	2	6598	125	467	467	467	467	1	237666	467	483	483	483	483	1	237650	483	0		7064		100.2
Participant819	N	Timeline1	P2Ca+10s	1	P2Ca	n-L10a	0	0			0			0	0			0			0	0			0							0			0				
