Participant	Dys	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Participant561	N	Timeline2	P2Sa	1	P2Sa	i++	867	96	67	167	9	19697	92	867	96	67	167	9	19697	92	1433	358	67	950	4	279080	92	1533	383	83	967	4	279030	142	0				
Participant561	N	Timeline2	P2Sa	1	P2Sa	i<x;	1817	101	67	233	18	12397	67	1583	106	67	233	15	13247	67	2767	277	67	825	10	271780	67	2900	290	67	842	10	271780	67	2				
Participant561	N	Timeline2	P2Sa	1	P2Sa	int i = 0;	3675	147	67	650	25	11639	92	3675	147	67	650	25	11639	92	4783	319	75	1875	15	271022	92	5141	343	83	1883	15	270964	150	1	11581	44327	113.63	36.78
Participant561	N	Timeline2	P2Sa	1	P2Sa	L01-F	2691	142	75	325	19	707	158	2550	142	75	325	18	707	158	4789	299	75	2322	16	260090	158	5122	320	92	2322	16	260081	167	1	3165	2048	48.9	57.97
Participant561	N	Timeline2	P2Sa	1	P2Sa	L02-F	3550	118	67	267	30	3073	92	3000	115	67	267	26	3073	92	7033	541	75	2325	13	262456	92	7341	565	108	2333	13	262440	108	2		3165		48.9
Participant561	N	Timeline2	P2Sa	1	P2Sa	L03-F	1550	129	67	267	12	10597	183	1550	129	67	267	12	10597	183	1783	198	67	525	9	269980	525	1991	221	83	550	9	269955	550	1		11122		220.78
Participant561	N	Timeline2	P2Sa	1	P2Sa	L04-F	1466	147	67	250	10	7240	92	1466	147	67	250	10	7240	92	1941	388	83	1150	5	266623	92	2200	440	100	1200	5	266514	200	1				
Participant561	N	Timeline2	P2Sa	1	P2Sa	L05-F	6633	121	67	650	55	11506	75	6324	124	67	650	51	11639	92	11382	517	67	1875	22	270889	225	11774	535	67	1883	22	270889	225	4	45661	44327	41.54	36.78
Participant561	N	Timeline2	P2Sa	1	P2Sa	L06-F	3841	124	67	325	31	13947	100	3016	121	67	325	25	13947	100	5741	383	83	1175	15	273330	100	6174	412	100	1217	15	273313	117	5	73233		127.48	
Participant561	N	Timeline2	P2Sa	1	P2Sa	L07-F	4083	157	67	417	26	14814	208	3216	153	67	417	21	26596	83	7774	777	142	3475	10	274197	208	8041	804	142	3541	10	274163	242	3		88790		146.5
Participant561	N	Timeline2	P2Sa	1	P2Sa	L08-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa	1	P2Sa	L09-F	150	150	150	150	1	71450	150	150	150	150	150	1	71450	150	150	150	150	150	1	330833	150	200	200	200	200	1	330783	200	0				
Participant561	N	Timeline2	P2Sa	1	P2Sa	L10-F	675	169	83	275	4	28029	192	483	161	83	275	3	28271	125	725	242	83	367	3	287412	367	750	250	100	367	3	287412	367	0		78124		49.57
Participant561	N	Timeline2	P2Sa	1	P2Sa	L11-F	0	0			0			0	0			0			0	0			0							0			0				
Participant561	N	Timeline2	P2Sa	1	P2Sa	L12-F	0	0			0			0	0			0			0	0			0							0			0				
